"_id","Civilité","Découverte_Akigora","Mailing","SMS","Date_de_Création","Date_Mise_à_Jour","Acceptation_CGU","Validation_Email"
"636d0a1f231df95a4ccc042b","male","bouche à oreille","FALSE","FALSE","10/10/2022","18/11/2022","VRAI","TRUE"
"636d0552231df95a4ccc0405","male","bouche à oreille","FALSE","FALSE","10/10/2022","12/09/2023","VRAI","TRUE"
"636d04f6231df95a4ccc0402","female","bouche à oreille","TRUE","FALSE","10/10/2022","10/11/2022","VRAI","TRUE"
"636cff1e231df95a4ccc03e3","male","autre","FALSE","TRUE","10/10/2022","10/11/2022","VRAI","TRUE"
"636cfd59231df95a4ccc03e0","male","bouche à oreille","FALSE","FALSE","10/10/2022","01/02/2023","VRAI","TRUE"
"636bb490231df95a4ccc022f","female","autre","FALSE","FALSE","09/10/2022","06/12/2022","VRAI","TRUE"
"636bb0ae231df95a4ccc022c","female","autre","FALSE","TRUE","09/10/2022","01/12/2022","VRAI","TRUE"
"636b8e2d231df95a4ccc0207","male","autre","FALSE","FALSE","09/10/2022","21/12/2022","VRAI","TRUE"
"636b8829231df95a4ccc01f5","female","autre","TRUE","FALSE","09/10/2022","18/09/2023","VRAI","TRUE"
"636b87af231df95a4ccc01f1","female","autre","FALSE","FALSE","09/10/2022","16/05/2023","VRAI","TRUE"
"636a748f231df95a4ccc00ca","female","autre","FALSE","FALSE","08/10/2022","10/11/2022","VRAI","TRUE"
"636a2ade3046e2504538ddc3","male","bouche à oreille","FALSE","FALSE","08/10/2022","29/11/2022","VRAI","TRUE"
"636a11e363803607b5162437","female","bouche à oreille","FALSE","FALSE","08/10/2022","24/11/2023","VRAI","TRUE"
"6369105e63803607b51622f9","male","autre","FALSE","FALSE","07/10/2022","07/11/2022","VRAI","TRUE"
"63690e4363803607b51622f0","male","association partenaire","FALSE","FALSE","07/10/2022","22/11/2022","VRAI","TRUE"
"636907da63803607b51622e0","male","association partenaire","FALSE","FALSE","07/10/2022","07/11/2022","VRAI","TRUE"
"6368c23b63803607b51621e7","female","publicité","TRUE","TRUE","07/10/2022","24/11/2022","VRAI","TRUE"
"6367ea0c63803607b5161fbe","female","autre","FALSE","TRUE","06/10/2022","06/11/2022","VRAI","TRUE"
"63654e2e63803607b5161e4c","male","autre","FALSE","FALSE","04/10/2022","03/12/2023","VRAI","TRUE"
"63653f1463803607b5161e44","female","parrainage","FALSE","FALSE","04/10/2022","09/11/2022","VRAI","TRUE"
"6365324d63803607b5161e11","male","bouche à oreille","FALSE","FALSE","04/10/2022","05/11/2022","VRAI","TRUE"
"63651e9b63803607b5161dfa","male","bouche à oreille","FALSE","FALSE","04/10/2022","30/08/2023","VRAI","TRUE"
"63650a9163803607b5161dd9","male","bouche à oreille","FALSE","FALSE","04/10/2022","04/11/2022","VRAI","TRUE"
"6364edc363803607b5161dba","female","bouche à oreille","FALSE","TRUE","04/10/2022","04/11/2022","VRAI","TRUE"
"6364ec5c63803607b5161db7","female","autre","FALSE","TRUE","04/10/2022","25/01/2023","VRAI","TRUE"
"6364b143623eed76be0466d1","male","recherche web","TRUE","TRUE","04/10/2022","08/11/2022","VRAI","TRUE"
"636400a6623eed76be04665a","male","bouche à oreille","FALSE","TRUE","03/10/2022","25/08/2023","VRAI","TRUE"
"63629874623eed76be0464d8","male","recherche web","FALSE","FALSE","02/10/2022","18/11/2023","VRAI","TRUE"
"635ce642623eed76be046006","male","autre","FALSE","FALSE","29/10/2022","20/11/2023","VRAI","TRUE"
"635bea1b623eed76be045ec2","female","parrainage","FALSE","FALSE","28/10/2022","28/10/2022","VRAI","TRUE"
"635a8b2b623eed76be045d4e","male","autre","FALSE","FALSE","27/10/2022","27/10/2022","VRAI","TRUE"
"635a70b1623eed76be045d16","female","bouche à oreille","TRUE","FALSE","27/10/2022","22/11/2022","VRAI","TRUE"
"63594c43623eed76be045ba3","female","association partenaire","FALSE","FALSE","26/10/2022","14/09/2023","VRAI","TRUE"
"63594b91623eed76be045ba0","male","bouche à oreille","FALSE","FALSE","26/10/2022","26/10/2022","VRAI","TRUE"
"635944f9623eed76be045b97","male","autre","FALSE","FALSE","26/10/2022","26/10/2023","VRAI","TRUE"
"6358f9e8623eed76be045ae7","female","bouche à oreille","FALSE","FALSE","26/10/2022","26/10/2022","VRAI","TRUE"
"6358f824623eed76be045ae3","male","recherche web","FALSE","FALSE","26/10/2022","28/11/2023","VRAI","TRUE"
"6357dd71623eed76be04598d","male","autre","FALSE","TRUE","25/10/2022","26/10/2022","VRAI","TRUE"
"6357815f623eed76be04588d","male","autre","TRUE","TRUE","25/10/2022","10/10/2023","VRAI","TRUE"
"6356d57c0fd435728656c8c6","male","autre","FALSE","FALSE","24/10/2022","24/10/2022","VRAI","TRUE"
"63568c420fd435728656c85c","female","bouche à oreille","FALSE","FALSE","24/10/2022","24/10/2022","VRAI","TRUE"
"63565b030fd435728656c7fb","female","parrainage","FALSE","FALSE","24/10/2022","08/07/2023","VRAI","TRUE"
"635647920fd435728656c7bd","male","bouche à oreille","FALSE","FALSE","24/10/2022","24/10/2022","VRAI","TRUE"
"635550970fd435728656c6ea","female","autre","FALSE","FALSE","23/10/2022","22/11/2023","VRAI","TRUE"
"6354ee840fd435728656c6da","male","publicité","TRUE","TRUE","23/10/2022","23/10/2022","VRAI","TRUE"
