_id,intitule,localisation,date_debut,date_fin,replacement_or_creation,presentiel_distanciel,isClosed,daysPlanned,forfait_remuneration
64be93ab02ad7455c86b8c5f,Risques professionnels,Nantes,04/10/2023,20/10/2023,RECONDUCTION,,FALSE,,hourly
64be915502ad7455c86b8c52,Déployer et assurer le suivi qualité d’un SIRH,Bordeaux,01/09/2023,31/01/2024,Création ,,FALSE,,hourly
64baad89044a1149b7ab9dd9,"Partager les principes clés et les mettre en application :  tenir ses engagements , s'investir au quotidien, checher à s'améliorer en permanence ...",Le Mans,01/09/2023,30/11/2023,Création de poste,,FALSE,,hourly
64ba2c22044a1149b7ab9bd4,Formateur Culture Générale et Expressions (CGE),Bordeaux,,,Création de poste,,FALSE,,hourly
64b7b5b984e22e017f4944f4,Jury anglais,Bordeaux,27/04/2023,27/04/2023,Créa,,TRUE,,hourly
64b79d0584e22e017f4944b4,COMMUNITY MANAGEMENT,Bordeaux,13/11/2023,12/12/2023,RECONDUCTION,,FALSE,,hourly
64b68c0984e22e017f4942e7,Sécurité des Réseaux,Bordeaux,01/09/2023,03/06/2024,Création,,FALSE,,hourly
64b68b9c84e22e017f4942e4,Formateur réseaux informatiques : CISCO,Bordeaux,07/12/2022,05/01/2023,Création de poste,,TRUE,,hourly
64b68ae484e22e017f4942e2,Formateur réseaux informatiques : Routing/Firewalling,Bordeaux,17/07/2023,31/08/2023,reconduction,,FALSE,,hourly
64b665d786b3167b713c307a,Economie comportementale et décision financière,Bordeaux,09/01/2024,20/02/2024,Création ,,FALSE,,hourly
64b6625586b3167b713c3069,Découverte des principaux logiciels PACK OFFICE,Bordeaux,01/09/2023,31/12/2023,Création,,FALSE,,hourly
64b65cfc86b3167b713c3044,Jury de bachelor - Leroy Merlin,Bordeaux,27/05/2023,27/05/2023,Création de poste,,TRUE,,hourly
64b65cbc86b3167b713c303d,Jury de bachelor - Leroy Merlin,Bordeaux,27/05/2023,27/05/2023,Création de poste,,TRUE,,hourly
64b65cae86b3167b713c303a,Jury de bachelor - Leroy Merlin,Bordeaux,27/05/2023,27/05/2023,Création de poste,,TRUE,,hourly
64b65ca186b3167b713c3038,Jury de bachelor - Leroy Merlin,Bordeaux,27/05/2023,27/05/2023,Création de poste,,TRUE,,hourly
64b65c9186b3167b713c3035,Jury de bachelor - Leroy Merlin,Bordeaux,27/05/2023,27/05/2023,Création de poste,,TRUE,,hourly
64b65c8286b3167b713c3032,Jury de bachelor - Leroy Merlin,Bordeaux,27/05/2023,27/05/2023,Création de poste,,TRUE,,hourly
64b65c7386b3167b713c302f,Jury de bachelor - Leroy Merlin,Bordeaux,27/05/2023,27/05/2023,Création de poste,,TRUE,,hourly
64b65c5586b3167b713c302b,Jury de bachelor - Leroy Merlin,Bordeaux,27/05/2023,27/05/2023,Création de poste,,TRUE,,hourly
64b65c5086b3167b713c302a,Jury de bachelor - Leroy Merlin,Bordeaux,27/05/2023,27/05/2023,Création de poste,,TRUE,,hourly
64b5697a5b32d14c2c8daa00,FINANCE INTERNATIONALE,Bordeaux,01/09/2022,31/05/2023,Création,,TRUE,,hourly
64b568ca5b32d14c2c8da9fc,GRANDS PRINCIPES DE LA PLANIFICATION,Bordeaux,01/09/2022,31/07/2023,,,TRUE,,
64b568805b32d14c2c8da9f9,OUTILS & ENJEUX DU CONTRÔLE DE GESTION,Bordeaux,03/10/2022,05/12/2022,Création de poste,,TRUE,,
64b568305b32d14c2c8da9f6,PILOTAGE STRATEGIE FINANCIERE,Bordeaux,06/01/2023,03/03/2023,Création de poste,,TRUE,,hourly
64b562c95b32d14c2c8da9d9,Fondamentaux de la finance,Bordeaux,13/03/2023,02/05/2023,Création de poste,,TRUE,,hourly
64b552435b32d14c2c8da9a1,Audit RH du groupe,Bordeaux,22/05/2023,31/07/2023,Création de poste,,FALSE,5,daily
64b53f145b32d14c2c8da93e,JEE : TP,Bordeaux,01/09/2023,30/06/2024,Création,,FALSE,,hourly
64b53e715b32d14c2c8da93c,Sécurité des SI : TP,Bordeaux,01/09/2023,03/06/2024,Création,,FALSE,,hourly
64b4f23a8e63f648f2a9a538,Jury RH Grand Oral,Bordeaux,14/06/2023,23/06/2023,Création,,TRUE,,hourly
64b4ec4b3ada0550cb50fe22,Relations commerciales,Bordeaux,01/09/2023,30/06/2024,Création,,FALSE,,hourly
64b0055bcb34de02d72d427f,Lancement produits / stratégie produits,bordeaux,01/01/2024,01/06/2024,créa,,FALSE,,hourly
64afd381cb34de02d72d4218,Immobilier de luxe,Bordeaux,01/09/2023,30/06/2024,,,FALSE,,hourly
64aed862cb34de02d72d408b,JURY GESTION DE PROJET DIGITAL,TOULOUSE,13/07/2023,13/07/2023,REMPLACEMENT,,TRUE,,hourly
64ae7f17cb34de02d72d3fb8,Supply chain,Bordeaux,01/09/2023,30/06/2024,reconduction,,FALSE,,hourly
64ae7e1dcb34de02d72d3fb0,Supply chain,Bordeaux,10/11/2022,30/06/2023,Création,,TRUE,,hourly
64ae787dcb34de02d72d3fac,Jury Soutenance Infra,Bordeaux,17/07/2023,20/07/2023,Création,,FALSE,,hourly
64ad4a13ff8744752952202d,Jury soutenance mémoire I2 DEV 1 & 2,Bordeaux,17/07/2023,21/07/2023,Création,,FALSE,,hourly
64ad2b44ff87447529521fdf,outils de reporting,Bordeaux,10/01/2023,14/02/2024,Reconduction,,FALSE,,hourly
64ac20e50c73164841e4cd25,Développer son univers métaverse,Toulouse,02/04/2024,13/06/2024,reconduction,,FALSE,,hourly
64ac208e0c73164841e4cd23,Univers Métaverse et IA,Toulouse,02/04/2024,13/06/2024,reconduction,,FALSE,,
64ac207c0c73164841e4cd22,Univers Métaverse et IA,Toulouse,02/04/2024,13/06/2024,reconduction,,FALSE,,
64ac20780c73164841e4cd21,Univers Métaverse et IA,Toulouse,02/04/2024,13/06/2024,reconduction,,FALSE,,
64ac14080c73164841e4cceb,Digital Management,Bordeaux ,10/07/2023,10/07/2023,Création,,FALSE,,hourly
64ac13e30c73164841e4cce9,Digital Management,Bordeaux ,10/07/2023,10/07/2023,Création,,FALSE,,hourly
64ac0edf0c73164841e4cca7,Digital Management,Bordeaux ,10/07/2023,10/07/2023,Création,,FALSE,,hourly
64ac0e450c73164841e4cca1,Digital Management,Bordeaux ,10/07/2023,10/07/2023,Création,,FALSE,,hourly
64ac0da80c73164841e4cc9e,Digital Management,Bordeaux ,10/07/2023,10/07/2023,Création,,FALSE,,hourly
64ac0da10c73164841e4cc9d,Digital Management,Bordeaux ,10/07/2023,10/07/2023,Création,,FALSE,,hourly
64ac0b7c0c73164841e4cc8f,INTELLIGENCE ECONOMIQUE ET PROSPECTIVE,Bordeaux,08/06/2023,08/06/2023,,,FALSE,,hourly
64abca2e0c73164841e4cba8,Bases de données - Conception/Administration,Bordeaux,26/06/2023,26/06/2023,Créa,,FALSE,,hourly
64abca1b0c73164841e4cba7,Serveur WEB,Bordeaux,26/06/2023,26/06/2023,Créa,,FALSE,,hourly
64abc9ed0c73164841e4cba6,Bases de données - Conception/Administration,Bordeaux,26/06/2023,26/06/2023,Créa,,FALSE,,hourly
64abc9e00c73164841e4cba5,Bases de données - Conception/Administration,Bordeaux,26/06/2023,26/06/2023,Créa,,FALSE,,hourly
64abc9c20c73164841e4cba4,Social Engineering,Bordeaux,26/06/2023,26/06/2023,Créa,,FALSE,,hourly
64abc94b0c73164841e4cba0,Formateur RH - Optimisation de la politique de rémunération,Toulouse,13/12/2021,12/01/2022,Création de poste,,FALSE,,
64abc9410c73164841e4cb9f,Formateur RH - Méthode et outils de l’audit social,Toulouse,17/11/2022,14/12/2022,reconduction,,FALSE,,
64abc9060c73164841e4cb9e,Droit des contrats commerciaux,"Bordeaux, France",16/05/2024,13/06/2024,reconduction +,,TRUE,,hourly
64abc8f40c73164841e4cb9d,Droit du numérique,"Bordeaux, France",16/05/2024,13/06/2024,rreconduction,,TRUE,,hourly
64abc8b30c73164841e4cb9c,Versionning et Repository,Bordeaux,26/06/2023,26/06/2023,Créa,,FALSE,,
64abc8a60c73164841e4cb9b,Versionning et Repository,Bordeaux,26/06/2023,26/06/2023,Créa,,FALSE,,
64abc87d0c73164841e4cb9a,Connaître ses moteurs de motivation,Bordeaux,01/09/2023,01/01/2024,Création,,FALSE,,hourly
64abc8690c73164841e4cb99,Physique,Bordeaux,01/01/2024,30/05/2024,Création,,FALSE,,hourly
64abc8520c73164841e4cb98,Sécurité des SI,Bordeaux,01/09/2023,03/06/2024,Création,,FALSE,,hourly
